M,theta,beta_lower,beta_upper
1.5000,0,41.8103,90.0000
1.5000,1,42.9130,88.8384
1.5000,2,44.0646,87.6674
1.5000,3,45.2718,86.4769
1.5000,4,46.5429,85.2554
1.5000,5,47.8893,83.9894
1.5000,6,49.3262,82.6613
1.5000,7,50.8757,81.2472
1.5000,8,52.5715,79.7118
1.5000,9,54.4699,77.9974
1.5000,10,56.6787,75.9949
1.5000,11,59.4651,73.4359
1.5000,12,64.3588,68.7898
.
.
3.0000,0,19.4712,90.0000
3.0000,1,20.1576,89.6499
3.0000,2,20.8667,89.2993
3.0000,3,21.5990,88.9476
3.0000,4,22.3544,88.5943
3.0000,5,23.1333,88.2389
3.0000,6,23.9356,87.8807
3.0000,7,24.7616,87.5192
3.0000,8,25.6114,87.1538
3.0000,9,26.4850,86.7837
3.0000,10,27.3827,86.4083
3.0000,11,28.3046,86.0267
3.0000,12,29.2510,85.6383
3.0000,13,30.2221,85.2419
3.0000,14,31.2184,84.8368
3.0000,15,32.2404,84.4217
3.0000,16,33.2886,83.9954
3.0000,17,34.3639,83.5565
3.0000,18,35.4673,83.1033
3.0000,19,36.6000,82.6341
3.0000,20,37.7636,82.1467
3.0000,21,38.9601,81.6385
3.0000,22,40.1920,81.1065
3.0000,23,41.4624,80.5470
3.0000,24,42.7753,79.9555
3.0000,25,44.1359,79.3262
3.0000,26,45.5512,78.6519
3.0000,27,47.0303,77.9228
3.0000,28,48.5862,77.1255
3.0000,29,50.2377,76.2409
3.0000,30,52.0138,75.2394
3.0000,31,53.9637,74.0717
3.0000,32,56.1821,72.6423
3.0000,33,58.9089,70.7114
3.0000,34,63.6732,66.7494
.
.
4.0000,0,14.4775,90.0000
4.0000,1,15.1313,89.7199
4.0000,2,15.8126,89.4395
4.0000,3,16.5215,89.1584
4.0000,4,17.2578,88.8762
4.0000,5,18.0213,88.5926
4.0000,6,18.8117,88.3071
4.0000,7,19.6287,88.0195
4.0000,8,20.4717,87.7292
4.0000,9,21.3404,87.4359
4.0000,10,22.2341,87.1391
4.0000,11,23.1525,86.8384
4.0000,12,24.0950,86.5332
4.0000,13,25.0611,86.2230
4.0000,14,26.0505,85.9072
4.0000,15,27.0629,85.5851
4.0000,16,28.0979,85.2561
4.0000,17,29.1555,84.9194
4.0000,18,30.2356,84.5742
4.0000,19,31.3383,84.2195
4.0000,20,32.4639,83.8542
4.0000,21,33.6128,83.4771
4.0000,22,34.7857,83.0870
4.0000,23,35.9835,82.6820
4.0000,24,37.2074,82.2606
4.0000,25,38.4589,81.8204
4.0000,26,39.7400,81.3590
4.0000,27,41.0533,80.8733
4.0000,28,42.4021,80.3594
4.0000,29,43.7905,79.8128
4.0000,30,45.2241,79.2275
4.0000,31,46.7101,78.5959
4.0000,32,48.2585,77.9075
4.0000,33,49.8833,77.1482
4.0000,34,51.6052,76.2967
4.0000,35,53.4569,75.3202
4.0000,36,55.4957,74.1611
4.0000,37,57.8390,72.7016
4.0000,38,60.8271,70.6012
.
.
5.0000,0,11.5370,90.0000
5.0000,1,12.1785,89.7500
5.0000,2,12.8532,89.4996
5.0000,3,13.5608,89.2487
5.0000,4,14.3009,88.9969
5.0000,5,15.0727,88.7439
5.0000,6,15.8755,88.4894
5.0000,7,16.7083,88.2331
5.0000,8,17.5700,87.9746
5.0000,9,18.4597,87.7137
5.0000,10,19.3760,87.4499
5.0000,11,20.3180,87.1829
5.0000,12,21.2845,86.9122
5.0000,13,22.2746,86.6375
5.0000,14,23.2872,86.3582
5.0000,15,24.3217,86.0739
5.0000,16,25.3773,85.7840
5.0000,17,26.4534,85.4880
5.0000,18,27.5495,85.1852
5.0000,19,28.6654,84.8749
5.0000,20,29.8009,84.5563
5.0000,21,30.9560,84.2285
5.0000,22,32.1310,83.8905
5.0000,23,33.3261,83.5413
5.0000,24,34.5419,83.1795
5.0000,25,35.7794,82.8037
5.0000,26,37.0397,82.4123
5.0000,27,38.3242,82.0031
5.0000,28,39.6347,81.5739
5.0000,29,40.9737,81.1218
5.0000,30,42.3443,80.6434
5.0000,31,43.7501,80.1345
5.0000,32,45.1964,79.5898
5.0000,33,46.6896,79.0024
5.0000,34,48.2385,78.3631
5.0000,35,49.8554,77.6594
5.0000,36,51.5582,76.8733
5.0000,37,53.3741,75.9773
5.0000,38,55.3490,74.9252
5.0000,39,57.5711,73.6287
5.0000,40,60.2593,71.8688
5.0000,41,64.6551,68.4037
.
.
7.0000,0,8.2132,90.0000
7.0000,1,8.8483,89.7750
7.0000,2,9.5281,89.5497
7.0000,3,10.2519,89.3239
7.0000,4,11.0182,89.0974
7.0000,5,11.8250,88.8698
7.0000,6,12.6700,88.6411
7.0000,7,13.5507,88.4108
7.0000,8,14.4645,88.1786
7.0000,9,15.4091,87.9444
7.0000,10,16.3818,87.7079
7.0000,11,17.3806,87.4686
7.0000,12,18.4033,87.2262
7.0000,13,19.4482,86.9805
7.0000,14,20.5136,86.7310
7.0000,15,21.5983,86.4774
7.0000,16,22.7010,86.2192
7.0000,17,23.8208,85.9559
7.0000,18,24.9570,85.6870
7.0000,19,26.1091,85.4120
7.0000,20,27.2767,85.1303
7.0000,21,28.4595,84.8412
7.0000,22,29.6577,84.5439
7.0000,23,30.8712,84.2376
7.0000,24,32.1006,83.9214
7.0000,25,33.3462,83.5941
7.0000,26,34.6089,83.2547
7.0000,27,35.8896,82.9017
7.0000,28,37.1895,82.5334
7.0000,29,38.5103,82.1480
7.0000,30,39.8538,81.7432
7.0000,31,41.2224,81.3164
7.0000,32,42.6192,80.8642
7.0000,33,44.0481,80.3827
7.0000,34,45.5137,79.8668
7.0000,35,47.0225,79.3099
7.0000,36,48.5830,78.7035
7.0000,37,50.2066,78.0358
7.0000,38,51.9102,77.2901
7.0000,39,53.7189,76.4407
7.0000,40,55.6748,75.4458
7.0000,41,57.8565,74.2266
7.0000,42,60.4497,72.5972
7.0000,43,64.2844,69.7275
.
.
8.0000,0,7.1808,90.0000
8.0000,1,7.8159,89.7809
8.0000,2,8.5017,89.5616
8.0000,3,9.2370,89.3418
8.0000,4,10.0193,89.1213
8.0000,5,10.8460,88.8998
8.0000,6,11.7138,88.6771
8.0000,7,12.6192,88.4530
8.0000,8,13.5588,88.2272
8.0000,9,14.5296,87.9993
8.0000,10,15.5284,87.7691
8.0000,11,16.5526,87.5364
8.0000,12,17.5998,87.3008
8.0000,13,18.6679,87.0619
8.0000,14,19.7553,86.8194
8.0000,15,20.8605,86.5730
8.0000,16,21.9822,86.3222
8.0000,17,23.1195,86.0665
8.0000,18,24.2717,85.8056
8.0000,19,25.4382,85.5388
8.0000,20,26.6187,85.2656
8.0000,21,27.8130,84.9854
8.0000,22,29.0211,84.6975
8.0000,23,30.2432,84.4010
8.0000,24,31.4796,84.0952
8.0000,25,32.7307,83.7789
8.0000,26,33.9974,83.4512
8.0000,27,35.2805,83.1107
8.0000,28,36.5812,82.7559
8.0000,29,37.9010,82.3851
8.0000,30,39.2415,81.9963
8.0000,31,40.6050,81.5870
8.0000,32,41.9942,81.1543
8.0000,33,43.4125,80.6947
8.0000,34,44.8641,80.2037
8.0000,35,46.3546,79.6756
8.0000,36,47.8911,79.1031
8.0000,37,49.4834,78.4765
8.0000,38,51.1452,77.7818
8.0000,39,52.8963,76.9990
8.0000,40,54.7684,76.0966
8.0000,41,56.8161,75.0196
8.0000,42,59.1517,73.6558
8.0000,43,62.0971,71.6834
.
.
